x,y,dx,dy,movement
388,370,-7,7,280
381,377,-7,7,287
374,384,-7,7,294
367,391,-7,7,301
360,398,-7,7,308
353,405,-7,7,315
346,412,-7,7,322
339,419,-7,7,329
332,426,-7,7,336
325,433,-7,7,343
318,440,-7,7,350
311,447,-7,7,357
304,454,-7,7,364
297,461,-7,7,371
290,468,-7,7,378
283,475,-7,7,385
276,482,-7,7,392
269,489,-7,7,399
262,496,-7,7,406
255,503,-7,7,413
248,510,-7,7,420
241,517,-7,7,427
234,524,-7,7,434
227,531,-7,7,441
220,538,-7,7,448
213,545,-7,7,455
206,552,-7,7,462
199,559,-7,7,469
192,566,-7,7,469
185,573,-7,7,469
178,580,-7,7,469
171,587,-7,7,469
164,594,-7,7,469
157,587,-7,-7,469
150,580,-7,-7,469
143,573,-7,-7,469
136,566,-7,-7,469
129,559,-7,-7,469
122,552,-7,-7,469
115,545,-7,-7,469
108,538,-7,-7,469
101,531,-7,-7,469
94,524,-7,-7,469
87,517,-7,-7,462
80,510,-7,-7,455
73,503,-7,-7,448
66,496,-7,-7,441
59,489,-7,-7,434
52,482,-7,-7,427
45,475,-7,-7,420
38,468,-7,-7,413
31,461,-7,-7,406
24,454,-7,-7,399
31,447,7,-7,392
38,440,7,-7,385
45,433,7,-7,378
52,426,7,-7,371
59,419,7,-7,371
66,412,7,-7,371
73,405,7,-7,371
80,398,7,-7,371
87,391,7,-7,371
94,384,7,-7,364
101,377,7,-7,357
108,370,7,-7,350
115,363,7,-7,343
122,356,7,-7,336
129,349,7,-7,329
136,342,7,-7,322
143,335,7,-7,315
150,328,7,-7,315
157,321,7,-7,315
164,314,7,-7,315
171,307,7,-7,315
178,300,7,-7,315
185,293,7,-7,315
192,286,7,-7,315
199,279,7,-7,315
206,272,7,-7,315
213,265,7,-7,315
220,258,7,-7,315
227,251,7,-7,315
234,244,7,-7,315
241,237,7,-7,315
248,230,7,-7,315
255,223,7,-7,315
262,216,7,-7,315
269,209,7,-7,315
276,202,7,-7,315
283,195,7,-7,315
290,188,7,-7,315
297,181,7,-7,315
304,174,7,-7,315
311,167,7,-7,315
318,160,7,-7,315
325,153,7,-7,315
332,146,7,-7,315
339,139,7,-7,315
346,132,7,-7,315
353,125,7,-7,315
360,118,7,-7,315
367,111,7,-7,315
374,104,7,-7,315
381,97,7,-7,315
388,90,7,-7,315
395,83,7,-7,315
402,76,7,-7,315
409,69,7,-7,315
416,62,7,-7,315
423,55,7,-7,315
430,48,7,-7,315
437,41,7,-7,315
444,34,7,-7,315
451,27,7,-7,315
458,20,7,-7,315
465,13,7,-7,315
472,6,7,-7,315
479,13,7,7,315
486,20,7,7,315
493,27,7,7,315
500,34,7,7,315
507,41,7,7,315
514,48,7,7,315
521,55,7,7,315
528,62,7,7,315
535,69,7,7,315
542,76,7,7,315
549,83,7,7,315
556,90,7,7,315
563,97,7,7,315
570,104,7,7,315
577,111,7,7,315
584,118,7,7,315
591,125,7,7,315
598,132,7,7,315
605,139,7,7,315
612,146,7,7,315
619,153,7,7,315
626,160,7,7,315
633,167,7,7,315
640,174,7,7,315
647,181,7,7,315
654,188,7,7,315
661,195,7,7,315
668,202,7,7,315
675,209,7,7,315
682,216,7,7,315
689,223,7,7,315
696,230,7,7,315
703,237,7,7,315
710,244,7,7,315
717,251,7,7,315
724,258,7,7,315
731,265,7,7,315
738,272,7,7,315
745,279,7,7,315
752,286,7,7,315
759,293,7,7,315
766,300,7,7,315
773,307,7,7,315
780,314,7,7,315
787,321,7,7,315
794,328,7,7,315
801,335,7,7,315
808,342,7,7,315
815,349,7,7,315
822,356,7,7,315
829,363,7,7,315
836,370,7,7,315
843,377,7,7,315
850,384,7,7,315
857,391,7,7,315
864,398,7,7,315
871,405,7,7,315
878,412,7,7,315
885,419,7,7,315
892,426,7,7,315
899,433,7,7,315
906,440,7,7,315
913,447,7,7,315
920,454,7,7,315
927,461,7,7,315
934,468,7,7,315
941,475,7,7,315
948,482,7,7,315
955,489,7,7,315
962,496,7,7,315
969,503,7,7,315
976,510,7,7,315
969,517,-7,7,315
962,524,-7,7,315
955,531,-7,7,315
948,538,-7,7,315
941,545,-7,7,315
934,552,-7,7,315
927,559,-7,7,315
920,566,-7,7,315
913,573,-7,7,315
906,580,-7,7,315
899,587,-7,7,315
892,594,-7,7,315
885,587,-7,-7,315
878,580,-7,-7,315
871,573,-7,-7,315
864,566,-7,-7,315
857,559,-7,-7,315
850,552,-7,-7,315
843,545,-7,-7,315
836,538,-7,-7,315
829,531,-7,-7,308
822,524,-7,-7,301
815,517,-7,-7,294
808,510,-7,-7,287
801,503,-7,-7,280
794,496,-7,-7,273
787,489,-7,-7,266
780,482,-7,-7,259
773,475,-7,-7,252
766,468,-7,-7,245
759,461,-7,-7,238
752,454,-7,-7,231
745,447,-7,-7,224
738,440,-7,-7,217
731,433,-7,-7,210
724,426,-7,-7,203
717,419,-7,-7,196
710,412,-7,-7,196
703,405,-7,-7,196
696,398,-7,-7,196
689,391,-7,-7,196
682,384,-7,-7,196
675,377,-7,-7,196
668,370,-7,-7,196
661,363,-7,-7,196
654,356,-7,-7,196
647,349,-7,-7,196
640,342,-7,-7,196
633,335,-7,-7,196
626,328,-7,-7,196
619,321,-7,-7,196
612,314,-7,-7,196
605,307,-7,-7,196
598,300,-7,-7,196
591,293,-7,-7,196
584,286,-7,-7,196
577,279,-7,-7,196
570,272,-7,-7,196
563,265,-7,-7,196
556,258,-7,-7,196
549,251,-7,-7,196
542,244,-7,-7,196
535,237,-7,-7,196
528,230,-7,-7,196
521,223,-7,-7,196
514,216,-7,-7,196
507,209,-7,-7,196
500,202,-7,-7,196
493,195,-7,-7,196
486,188,-7,-7,196
479,181,-7,-7,196
472,174,-7,-7,196
465,167,-7,-7,196
458,160,-7,-7,196
451,153,-7,-7,196
444,146,-7,-7,196
437,139,-7,-7,196
430,132,-7,-7,196
423,125,-7,-7,196
416,118,-7,-7,196
409,111,-7,-7,196
402,104,-7,-7,196
395,97,-7,-7,196
388,90,-7,-7,196
381,83,-7,-7,196
374,76,-7,-7,196
367,69,-7,-7,196
360,62,-7,-7,196
353,55,-7,-7,196
346,48,-7,-7,196
339,41,-7,-7,196
332,34,-7,-7,196
325,27,-7,-7,196
318,20,-7,-7,196
311,13,-7,-7,196
304,6,-7,-7,196
297,13,-7,7,196
290,20,-7,7,196
283,27,-7,7,196
276,34,-7,7,196
269,41,-7,7,196
262,48,-7,7,196
255,55,-7,7,196
248,62,-7,7,196
241,69,-7,7,196
234,76,-7,7,196
227,83,-7,7,196
220,90,-7,7,196
213,97,-7,7,196
206,104,-7,7,196
199,111,-7,7,196
192,118,-7,7,196
185,125,-7,7,196
178,132,-7,7,196
171,139,-7,7,196
164,146,-7,7,196
157,153,-7,7,196
150,160,-7,7,196
143,167,-7,7,196
136,174,-7,7,196
129,181,-7,7,196
122,188,-7,7,196
115,195,-7,7,196
108,202,-7,7,196
101,209,-7,7,196
94,216,-7,7,196
87,223,-7,7,196
80,230,-7,7,196
73,237,-7,7,196
66,244,-7,7,196
59,251,-7,7,203
52,258,-7,7,210
45,265,-7,7,217
38,272,-7,7,224
31,279,-7,7,231
24,286,-7,7,238
31,293,7,7,245
38,300,7,7,252
45,307,7,7,259
52,314,7,7,266
59,321,7,7,273
66,328,7,7,280
73,335,7,7,280
80,342,7,7,280
87,349,7,7,280
94,356,7,7,280
101,363,7,7,280
108,370,7,7,280
115,377,7,7,280
122,384,7,7,280
129,391,7,7,280
136,398,7,7,280
143,405,7,7,280
150,412,7,7,280
157,419,7,7,280
164,426,7,7,280
171,433,7,7,280
178,440,7,7,280
185,447,7,7,280
192,454,7,7,280
199,461,7,7,280
206,468,7,7,280
213,475,7,7,280
220,482,7,7,280
227,489,7,7,280
234,496,7,7,280
241,503,7,7,280
248,510,7,7,280
255,517,7,7,280
262,524,7,7,280
269,531,7,7,280
276,538,7,7,280
283,545,7,7,280
290,552,7,7,280
297,559,7,7,280
304,566,7,7,280
311,573,7,7,280
318,580,7,7,280
325,587,7,7,280
332,594,7,7,280
339,587,7,-7,280
346,580,7,-7,280
353,573,7,-7,280
360,566,7,-7,280
367,559,7,-7,280
374,552,7,-7,280
381,545,7,-7,280
388,538,7,-7,280
395,531,7,-7,280
402,524,7,-7,280
409,517,7,-7,280
416,510,7,-7,280
423,503,7,-7,280
430,496,7,-7,280
437,489,7,-7,280
444,482,7,-7,280
451,475,7,-7,280
458,468,7,-7,280
465,461,7,-7,280
472,454,7,-7,280
479,447,7,-7,280
486,440,7,-7,280
493,433,7,-7,280
500,426,7,-7,280
507,419,7,-7,280
514,412,7,-7,280
521,405,7,-7,280
528,398,7,-7,280
535,391,7,-7,280
542,384,7,-7,280
549,377,7,-7,280
556,370,7,-7,280
563,363,7,-7,280
570,356,7,-7,280
577,349,7,-7,280
584,342,7,-7,280
591,335,7,-7,280
598,328,7,-7,280
605,321,7,-7,280
612,314,7,-7,280
619,307,7,-7,280
626,300,7,-7,280
633,293,7,-7,280
640,286,7,-7,280
647,279,7,-7,280
654,272,7,-7,280
661,265,7,-7,280
668,258,7,-7,280
675,251,7,-7,280
682,244,7,-7,280
689,237,7,-7,280
696,230,7,-7,280
703,223,7,-7,280
710,216,7,-7,280
717,209,7,-7,280
724,202,7,-7,280
731,195,7,-7,280
738,188,7,-7,280
745,181,7,-7,280
752,174,7,-7,280
759,167,7,-7,280
766,160,7,-7,280
773,153,7,-7,280
780,146,7,-7,280
787,139,7,-7,280
794,132,7,-7,280
801,125,7,-7,280
808,118,7,-7,280
815,111,7,-7,280
822,104,7,-7,280
829,97,7,-7,280
836,90,7,-7,280
843,83,7,-7,280
850,76,7,-7,280
857,69,7,-7,280
864,62,7,-7,280
871,55,7,-7,280
878,48,7,-7,280
885,41,7,-7,280
892,34,7,-7,280
899,27,7,-7,280
906,20,7,-7,280
913,13,7,-7,280
920,6,7,-7,280
927,13,7,7,280
934,20,7,7,280
941,27,7,7,280
948,34,7,7,280
955,41,7,7,280
962,48,7,7,280
969,55,7,7,280
976,62,7,7,280
969,69,-7,7,280
962,76,-7,7,280
955,83,-7,7,280
948,90,-7,7,280
941,97,-7,7,280
934,104,-7,7,280
927,111,-7,7,280
920,118,-7,7,280
913,125,-7,7,280
906,132,-7,7,280
899,139,-7,7,280
892,146,-7,7,280
885,153,-7,7,280
878,160,-7,7,280
871,167,-7,7,280
864,174,-7,7,280
857,181,-7,7,280
850,188,-7,7,280
843,195,-7,7,280
836,202,-7,7,280
829,209,-7,7,280
822,216,-7,7,280
815,223,-7,7,280
808,230,-7,7,280
801,237,-7,7,280
794,244,-7,7,280
787,251,-7,7,280
780,258,-7,7,280
773,265,-7,7,280
766,272,-7,7,280
759,279,-7,7,280
752,286,-7,7,280
745,293,-7,7,280
738,300,-7,7,280
731,307,-7,7,280
724,314,-7,7,280
717,321,-7,7,280
710,328,-7,7,280
703,335,-7,7,280
696,342,-7,7,280
689,349,-7,7,287
682,356,-7,7,294
675,363,-7,7,301
668,370,-7,7,308
661,377,-7,7,315
654,384,-7,7,322
647,391,-7,7,329
640,398,-7,7,336
633,405,-7,7,343
626,412,-7,7,350
619,419,-7,7,357
612,426,-7,7,364
605,433,-7,7,371
598,440,-7,7,378
591,447,-7,7,385
584,454,-7,7,392
577,461,-7,7,399
570,468,-7,7,399
563,475,-7,7,399
556,482,-7,7,399
549,489,-7,7,399
542,496,-7,7,399
535,503,-7,7,399
528,510,-7,7,399
521,517,-7,7,399
514,524,-7,7,399
507,531,-7,7,399
